,M0 dimension 0,M1 dimension 0,M2 dimension 0,M0 dimension 1,M1 dimension 1,M1 dimension 2
alpha Motivational state 0,0.0,0.16867582652826063,1.6421945895403192,0.0,0.03105436635124381,0.030707633059898987
alpha Motivational state 1,0.16867582652826063,0.0,1.6421945895403192,0.03105436635124381,0.0,0.03694893869203203
alpha Motivational state 2,1.6421945895403192,1.6421945895403192,0.0,0.030707633059898987,0.03694893869203203,0.0
betta Motivational state 0,0.0,0.4910617961614939,1.0624679585583268,0.0,0.029863247573595375,0.03295155385331827
betta Motivational state 1,0.4910617961614939,0.0,1.3505298464580013,0.029863247573595375,0.0,0.029863247573595375
betta Motivational state 2,1.0624679585583268,1.3505298464580013,0.0,0.03295155385331827,0.029863247573595375,0.0
gamma Motivational state 0,0.0,0.38304712301125887,0.8621228861023322,0.0,0.16941322350536714,0.09612320641491245
gamma Motivational state 1,0.38304712301125887,0.0,0.47907576309107336,0.16941322350536714,0.0,0.14837397665651353
gamma Motivational state 2,0.8621228861023322,0.47907576309107336,0.0,0.09612320641491245,0.14837397665651353,0.0
no_filter Motivational state 0,0.0,0.822231969152734,5.747099651831647,0.0,0.2531726753655872,0.5573090849402362
no_filter Motivational state 1,0.822231969152734,0.0,5.747099651831647,0.2531726753655872,0.0,0.5573090849402362
no_filter Motivational state 2,5.747099651831647,5.747099651831647,0.0,0.5573090849402362,0.5573090849402362,0.0
