,clean electrodes,Trials,Trials w/o OL NF,Trials w/o OL Alpha,Trials w/o OL Betta,Trials w/o OL Gamma,M0,M1,M2,M0 w /o OL NF,M1 w /o OL NF,M2 w /o OL NF,M0 w /o OL Alpha,M1 w /o OL Alpha,M2 w /o OL Alpha,M0 w /o OL Betta,M1 w /o OL Betta,M2 w /o OL Betta,M0 w /o OL Gamma,M1 w /o OL Gamma,M2 w /o OL Gamma
25ElectrodeSpace,42.0,1296.0,1287.0,1273.0,1263.0,1254.0,432.0,432.0,432.0,428.0,420.0,422.0,417.0,428.0,426.0,420.0,419.0,431.0,427.0,421.0,418.0
25FontSpace,42.0,1296.0,1287.0,1271.0,1263.0,1258.0,432.0,432.0,432.0,427.0,420.0,418.0,411.0,428.0,426.0,423.0,423.0,432.0,425.0,422.0,424.0
26ElectrodeSpace,49.0,1017.0,993.0,992.0,989.0,986.0,370.0,323.0,324.0,366.0,364.0,360.0,353.0,311.0,312.0,313.0,317.0,316.0,316.0,316.0,316.0
26FontSpace,49.0,1017.0,988.0,965.0,981.0,977.0,432.0,324.0,261.0,422.0,398.0,400.0,420.0,318.0,321.0,321.0,316.0,248.0,246.0,260.0,241.0
27ElectrodeSpace,50.0,1296.0,1287.0,1286.0,1292.0,1272.0,432.0,432.0,432.0,429.0,425.0,431.0,419.0,430.0,432.0,432.0,425.0,428.0,429.0,429.0,428.0
27FontSpace,50.0,1296.0,1285.0,1280.0,1285.0,1250.0,432.0,432.0,432.0,427.0,421.0,425.0,407.0,430.0,432.0,432.0,417.0,428.0,427.0,428.0,426.0
28ElectrodeSpace,53.0,1296.0,1281.0,1289.0,1281.0,1282.0,432.0,432.0,432.0,427.0,429.0,427.0,430.0,429.0,431.0,427.0,425.0,425.0,429.0,427.0,427.0
28FontSpace,53.0,1296.0,1280.0,1279.0,1281.0,1279.0,432.0,432.0,432.0,427.0,427.0,429.0,429.0,429.0,424.0,423.0,423.0,424.0,428.0,429.0,427.0
29ElectrodeSpace,36.0,1080.0,1059.0,1042.0,1032.0,1038.0,432.0,216.0,432.0,426.0,415.0,411.0,416.0,208.0,215.0,212.0,203.0,425.0,412.0,409.0,419.0
29FontSpace,36.0,1080.0,1058.0,1040.0,1038.0,1043.0,432.0,216.0,432.0,425.0,414.0,415.0,418.0,208.0,214.0,211.0,203.0,425.0,412.0,412.0,422.0
30ElectrodeSpace,48.0,1296.0,1290.0,1290.0,1287.0,1275.0,432.0,432.0,432.0,431.0,430.0,430.0,426.0,427.0,429.0,426.0,418.0,432.0,431.0,431.0,431.0
30FontSpace,49.0,1296.0,1285.0,1290.0,1286.0,1276.0,432.0,432.0,432.0,431.0,430.0,429.0,429.0,422.0,429.0,426.0,417.0,432.0,431.0,431.0,430.0
31ElectrodeSpace,45.0,1080.0,1058.0,1054.0,1058.0,1062.0,432.0,432.0,216.0,430.0,426.0,427.0,428.0,412.0,412.0,415.0,418.0,216.0,216.0,216.0,216.0
31FontSpace,45.0,1080.0,1059.0,1059.0,1067.0,1077.0,432.0,432.0,216.0,429.0,427.0,429.0,430.0,414.0,416.0,422.0,431.0,216.0,216.0,216.0,216.0
32ElectrodeSpace,29.0,1296.0,1286.0,1292.0,1266.0,1266.0,432.0,432.0,432.0,432.0,432.0,431.0,432.0,431.0,431.0,422.0,432.0,423.0,429.0,413.0,402.0
32FontSpace,29.0,1296.0,1284.0,1292.0,1275.0,1258.0,432.0,432.0,432.0,431.0,432.0,430.0,432.0,430.0,431.0,428.0,429.0,423.0,429.0,417.0,397.0
33ElectrodeSpace,54.0,1296.0,1286.0,1245.0,1232.0,1238.0,432.0,432.0,432.0,429.0,414.0,413.0,408.0,426.0,416.0,405.0,407.0,431.0,415.0,414.0,423.0
33FontSpace,54.0,1296.0,1277.0,1245.0,1235.0,1255.0,432.0,432.0,432.0,426.0,417.0,423.0,423.0,420.0,405.0,400.0,415.0,431.0,423.0,412.0,417.0
34ElectrodeSpace,42.0,1296.0,1277.0,1287.0,1254.0,1258.0,432.0,432.0,432.0,424.0,427.0,413.0,407.0,426.0,429.0,421.0,425.0,427.0,431.0,420.0,426.0
34FontSpace,43.0,1296.0,1268.0,1289.0,1264.0,1252.0,432.0,432.0,432.0,417.0,428.0,411.0,397.0,426.0,430.0,425.0,428.0,425.0,431.0,428.0,427.0
35ElectrodeSpace,45.0,1296.0,1230.0,1255.0,1258.0,1250.0,432.0,432.0,432.0,389.0,397.0,399.0,401.0,417.0,429.0,430.0,425.0,424.0,429.0,429.0,424.0
35FontSpace,45.0,1296.0,1235.0,1258.0,1266.0,1258.0,432.0,432.0,432.0,399.0,399.0,407.0,409.0,412.0,430.0,429.0,425.0,424.0,429.0,430.0,424.0
